sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,Q_cfs,sum_vol_ft3,time_secs,time_days,sum_rain_mm,mean_Q_cfs,sd_Q_cfs,mean_Q_cfs_per_day,Q_Ls,Q_cms,sum_vol_L,sum_vol_m3,sum_rain_ft,sum_rain_m,runoff_ft,runoff_m,runoff_mm,runoff_ratio,vol_shift,rain_L,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
61,2016-10-27T16:15:00Z,ZIE,167,7.71,23.6,0.4,0.01,0.03,0.05,0.02,6.2,0.36,2016-10-27T16:20:00Z,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0654,226382.46,1176000,13.611111111111112,93.6498,0.1925020918367347,0.21763290080013337,0.014143010828821323,1.8519217937999999,0.0018519217938,6410437.48330362,6410.43748330362,0.307250009832,0.0936498,0.08312900826055707,0.27273297546156605,272.73297546156607,0.27055819560757977,NA,23693399.399999995,1070543.0597117045,49424.47299627091,151286.32460596543,2564.1749933214483,64.1043748330362,192.3131244991086,320.52187416518103,128.2087496660724,39744.71239648244,2307.757493989303,1070.5430597117045,49.42447299627091,151.28632460596543,2.564174993321448,0.0641043748330362,0.1923131244991086,0.320521874165181,0.1282087496660724,39.74471239648245,2.307757493989303,42.31395492931638,1.9535364820660437,5.979696624741717,0.1013507902498596,0.0025337697562464903,0.00760130926873947,0.01266884878123245,0.005067539512492981,1.570937248872824,0.09121571122487362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2016-11-10T07:00:00Z,ZIE,144,8.02,21.3,0.29,0.01,0.01,0.07,0,9.36,0.27,2016-11-10T07:00:00Z,6,155.5,7.865,22.450000000000003,0.345,0.01,0.02,0.060000000000000005,0.01,7.779999999999999,0.315,0.0503,824310.36,2640600,30.5625,240.19764,0.31216782549420585,0.5992303386853252,0.010214080179769517,1.4243374040999999,0.0014243374041,23341870.34463492,23341.87034463492,0.7880500252176,0.24019764000000002,0.30269174884707395,0.9930831972874341,993.0831972874341,0.3841022005722204,6410437.48330362,60770002.92000001,3361229.3296274287,187201.80016397205,497181.8383407238,6769.142399944127,233.4187034463492,233.4187034463492,1633.9309241244446,0,218479.90642578283,6302.304993051429,3361.2293296274283,187.20180016397205,497.1818383407238,6.769142399944126,0.2334187034463492,0.2334187034463492,1.6339309241244446,0,218.47990642578284,6.302304993051429,132.85491421452286,7.399280638892176,19.651456060898173,0.2675550355709141,0.009226035709341865,0.009226035709341865,0.06458224996539307,0,8.635569423943986,0.24910296415223038,3629660.83859073,183583.81026055367,524024.9892370541,8052.945268899047,233.4187034463492,466.8374068926984,1400.5122206780952,233.4187034463492,181599.75128125967,7352.689158560001,3629.6608385907302,183.58381026055366,524.024989237054,8.052945268899046,0.2334187034463492,0.4668374068926984,1.4005122206780953,0.2334187034463492,181.59975128125964,7.3526891585600005,143.46485528026602,7.256277085397378,20.71245016747249,0.3182982319722943,0.009226035709341865,0.01845207141868373,0.055356214256051195,0.009226035709341865,7.17785578186797,0.2906201248442688
73,2016-11-10T07:00:00Z,ZIE,131,7.98,17.2,0.27,0,0,0.05,0,7.2,0.27,2016-11-10T07:00:00Z,6,137.5,8,19.25,0.28,0.005,0.005,0.060000000000000005,0,8.28,0.27,0.0503,824310.36,2640600,30.5625,240.19764,0.31216782549420585,0.5992303386853252,0.010214080179769517,1.4243374040999999,0.0014243374041,23341870.34463492,23341.87034463492,0.7880500252176,0.24019764000000002,0.30269174884707395,0.9930831972874341,993.0831972874341,0.3841022005722204,23341870.34463492,60770002.92000001,3057785.0151471742,186268.1253501867,401480.1699277206,6302.304993051429,0,0,1167.093517231746,0,168061.46648137143,6302.304993051429,3057.7850151471744,186.26812535018666,401.4801699277206,6.302304993051429,0,0,1.167093517231746,0,168.06146648137144,6.302304993051429,120.86106779237844,7.362376496054809,15.868781420068009,0.24910296415223038,0,0,0.04613017854670933,0,6.642745710726143,0.24910296415223038,3209507.1723873015,186734.96275707937,449331.0041342222,6535.723696497778,116.7093517231746,116.7093517231746,1400.5122206780952,0,193270.68645357713,6302.304993051429,3209.5071723873016,186.73496275707936,449.3310041342222,6.5357236964977785,0.1167093517231746,0.1167093517231746,1.4005122206780953,0,193.27068645357713,6.302304993051429,126.85799100345065,7.380828567473492,17.76011874048309,0.25832899986157226,0.004613017854670933,0.004613017854670933,0.055356214256051195,0,7.639157567335064,0.24910296415223038
74,2016-11-10T07:00:00Z,ZIE,129,7.77,16.1,0.28,0.01,0,0.05,0,6.5,0.27,2016-11-10T07:00:00Z,6,130,7.875,16.65,0.275,0.005,0,0.05,0,6.85,0.27,0.0503,824310.36,2640600,30.5625,240.19764,0.31216782549420585,0.5992303386853252,0.010214080179769517,1.4243374040999999,0.0014243374041,23341870.34463492,23341.87034463492,0.7880500252176,0.24019764000000002,0.30269174884707395,0.9930831972874341,993.0831972874341,0.3841022005722204,23341870.34463492,60770002.92000001,3011101.274457905,181366.33257781333,375804.11254862224,6535.723696497778,233.4187034463492,0,1167.093517231746,0,151722.15724012698,6302.304993051429,3011.1012744579048,181.36633257781332,375.80411254862224,6.5357236964977785,0.2334187034463492,0,1.167093517231746,0,151.72215724012696,6.302304993051429,119.01586065051006,7.168629746158629,14.853917492040404,0.25832899986157226,0.009226035709341865,0,0.04613017854670933,0,5.996923211072212,0.24910296415223038,3034443.1448025396,183817.22896399998,388642.1412381714,6419.014344774604,116.7093517231746,0,1167.093517231746,0,159891.81186074918,6302.304993051429,3034.44314480254,183.81722896399998,388.6421412381714,6.419014344774604,0.1167093517231746,0,1.167093517231746,0,159.8918118607492,6.302304993051429,119.93846422144426,7.265503121106718,15.361349456054205,0.2537159820069013,0.004613017854670933,0,0.04613017854670933,0,6.319834460899177,0.24910296415223038
75,2016-11-10T07:00:00Z,ZIE,128,7.66,10.2,0.23,0,0,0.04,0.01,4.83,0.23,2016-11-10T07:00:00Z,6,128.5,7.715,13.15,0.255,0.005,0,0.045,0.005,5.665,0.25,0.0503,824310.36,2640600,30.5625,240.19764,0.31216782549420585,0.5992303386853252,0.010214080179769517,1.4243374040999999,0.0014243374041,23341870.34463492,23341.87034463492,0.7880500252176,0.24019764000000002,0.30269174884707395,0.9930831972874341,993.0831972874341,0.3841022005722204,23341870.34463492,60770002.92000001,2987759.40411327,178798.7268399035,238087.07751527618,5368.6301792660315,0,0,933.6748137853969,233.4187034463492,112741.23376458668,5368.6301792660315,2987.7594041132697,178.7987268399035,238.08707751527618,5.368630179266032,0,0,0.9336748137853969,0.2334187034463492,112.74123376458667,5.368630179266032,118.09325707957588,7.06714335335587,9.410556423528702,0.21219882131486292,0,0,0.03690414283736746,0.009226035709341865,4.456175247612121,0.21219882131486292,2999430.3392855874,180082.5297088584,306945.5950319492,5952.176937881904,116.7093517231746,0,1050.3841655085714,116.7093517231746,132231.69550235683,5835.46758615873,2999.4303392855873,180.0825297088584,306.9455950319492,5.952176937881904,0.1167093517231746,0,1.0503841655085713,0.1167093517231746,132.2316955023568,5.83546758615873,118.55455886504298,7.117886549757249,12.132236957784553,0.23526391058821755,0.004613017854670933,0,0.04151716069203839,0.004613017854670933,5.226549229342166,0.23065089273354664
99,2016-12-10T20:30:00Z,ZIE,84,7.25,39.8,0.33,0.04,0.04,0.06,0.01,3.75,0.25,2016-12-10T20:30:00Z,7,106,7.455,25,0.28,0.02,0.02,0.05,0.01,4.29,0.24,3,152288.4,88200,1.0208333333333335,0.254,1.7266258503401362,0.6300715463927555,1.6913885880882964,84.950541,0.084950541,4312327.3226748,4312.3273226748,8.333333600000001e-4,2.54e-4,0.05592122137725254,0.18346857994334523,183.46857994334522,67.10546350532822,23341870.34463492,64262,362235.49510468316,31264.3730893923,171630.62744245701,1423.068016482684,172.493092906992,172.493092906992,258.739639360488,43.123273226748,16171.227460030499,1078.0818306687,362.23549510468314,31.264373089392297,171.630627442457,1.423068016482684,0.17249309290699197,0.17249309290699197,0.258739639360488,0.04312327322674799,16.1712274600305,1.0780818306687,14.317608502161388,1.235745971912739,6.783819266500277,0.05624774768706261,0.006817908810553042,0.006817908810553042,0.010226863215829565,0.0017044772026382606,0.6391789509893478,0.04261193006595652,457106.6962035288,32148.40019054063,107808.18306686998,1207.4516503489442,86.246546453496,86.246546453496,215.61636613374,43.123273226748,18499.88421427489,1034.958557441952,457.10669620352877,32.14840019054063,107.80818306686999,1.207451650348944,0.08624654645349598,0.08624654645349598,0.21561636613374,0.04312327322674799,18.49988421427489,1.034958557441952,18.067458347965562,1.2706877545668231,4.261193006595652,0.04772536167387131,0.003408954405276521,0.003408954405276521,0.008522386013191304,0.0017044772026382606,0.7312207199318138,0.04090745286331826
102,2016-12-11T21:00:00Z,ZIE,97,7.43,22.6,0.19,0,0.02,0.03,0,2.06,0.17,2016-12-11T21:00:00Z,8,90.5,7.34,31.2,0.26,0.02,0.03,0.045,0.005,2.9050000000000002,0.21000000000000002,0.899,41766,61200,0.7083333333333334,0,0.6824509803921569,0.11124717172517734,0.9634602076124568,25.456845453,0.025456845453,1182681.431802,1182.681431802,0,0,0.015336727761551962,0.050317349909210135,50.31734990921014,Inf,4312327.3226748,0,114720.098884794,8787.32303828886,26728.6003587252,224.70947204237999,0,23.653628636039997,35.480442954059995,0,2436.32374951212,201.05584340634,114.720098884794,8.787323038288859,26.728600358725203,0.22470947204237998,0,0.023653628636039998,0.03548044295406,0,2.4363237495121197,0.20105584340634,4.534391260268538,0.3473250212762395,1.056466417340917,0.008881797313928063,0,9.349260330450592e-4,0.001402389049567589,0,0.0962973814036411,0.007946871280883004,107032.669578081,8680.881709426678,36899.660672222395,307.49717226852,23.653628636039997,35.480442954059995,53.22066443108999,5.913407159009999,3435.6895593848103,248.36310067842,107.032669578081,8.680881709426679,36.899660672222396,0.30749717226851997,0.023653628636039998,0.03548044295406,0.05322066443108999,0.0059134071590099995,3.4356895593848105,0.24836310067842002,4.230540299528893,0.3431178541275367,1.4584846115502923,0.012154038429585769,9.349260330450592e-4,0.001402389049567589,0.002103583574351383,2.337315082612648e-4,0.13579800629979488,0.009816723346973123
46,2016-12-12T14:00:00Z,ZIE,167,7.76,2.5,0.11,0.05,0.03,0.01,0.01,1.95,0.03,2016-12-12T14:00:00Z,9,132,7.595,12.55,0.15,0.025,0.025,0.02,0.005,2.005,0.1,0.523,131674.2,259200,3,77.978,0.5080023148148148,0.6586413650769688,0.1693341049382716,14.809710981,0.014809710981,3728598.1752474,3728.5981752474,0.25583334152,0.07797799999999999,0.048351562481926576,0.15863374025320398,158.63374025320397,0.18899632938635816,1182681.431802,19728434,622675.8952663158,28933.921839919825,9321.4954381185,410.145799277214,186.42990876237,111.857945257422,37.285981752474,37.285981752474,7270.7664417324295,111.857945257422,622.6758952663158,28.933921839919826,9.3214954381185,0.410145799277214,0.18642990876237,0.111857945257422,0.037285981752474,0.037285981752474,7.27076644173243,0.111857945257422,24.611695465071772,1.1436332743051314,0.36843855486634386,0.01621129641411913,0.007368771097326877,0.004421262658396126,0.0014737542194653756,0.0014737542194653756,0.28738207279574823,0.004421262658396126,492174.9591326568,28318.703141004004,46793.907099354874,559.28972628711,93.214954381185,93.214954381185,74.571963504948,18.642990876237,7475.839341371037,372.85981752474,492.1749591326568,28.318703141004004,46.79390709935487,0.55928972628711,0.093214954381185,0.093214954381185,0.074571963504948,0.018642990876237,7.475839341371037,0.37285981752474,19.453555696942956,1.1193163296839528,1.8495615454290462,0.022106313291980633,0.0036843855486634386,0.0036843855486634386,0.0029475084389307513,7.368771097326878e-4,0.2954877210028078,0.014737542194653754
109,2016-12-15T14:00:00Z,ZIE,80,7.58,37.9,0.37,0.02,0.04,0.08,0,5.5,0.31,2016-12-15T14:00:00Z,10,123.5,7.67,20.2,0.24,0.035,0.035,0.045,0.005,3.725,0.16999999999999998,4.71,93924,18000,0.20833333333333334,2.54,5.218,0.16912350108926213,25.0464,133.37234937,0.13337234937,2659631.537628,2659.6315376280004,0.008333333600000001,0.00254,0.03448946076416239,0.11315440245349455,113.15440245349455,4.138735159259961,3728598.1752474,642620,212770.52301024002,20160.00705522024,100800.0352761012,984.0636689223601,53.19263075256001,106.38526150512001,212.77052301024003,0,14627.973456954,824.48577666468,212.77052301024003,20.16000705522024,100.8000352761012,0.9840636689223601,0.053192630752560005,0.10638526150512001,0.21277052301024002,0,14.627973456954,0.82448577666468,8.409902095266403,0.7968382235264917,3.9841911176324585,0.038895797190607116,0.002102475523816601,0.004204951047633202,0.008409902095266404,0,0.5781807690495653,0.032588370619157314,328464.494897058,20399.37389360676,53724.5570600856,638.3115690307201,93.08710381698002,93.08710381698002,119.68341919326001,13.298157688140002,9907.1274776643,452.13736139675996,328.464494897058,20.39937389360676,53.7245570600856,0.6383115690307201,0.09308710381698002,0.09308710381698002,0.11968341919326,0.013298157688140001,9.907127477664302,0.45213736139676,12.982786359567509,0.8062993633836664,2.123500279054767,0.025229706285799212,0.003679332166679052,0.003679332166679052,0.0047305699285873515,5.256188809541503e-4,0.391586066310842,0.017871041952441106
114,2016-12-15T19:00:00Z,ZIE,82,7.38,51.8,0.33,0.03,0.03,0.09,0,4.21,0.27,2016-12-15T19:00:00Z,11,81,7.48,44.849999999999994,0.35,0.025,0.035,0.08499999999999999,0,4.855,0.29000000000000004,5.26,59196,10800,0.125,0.508,5.481111111111111,0.09498537899183329,43.84888888888889,148.94661521999998,0.14894661522,1676244.075012,1676.2440750120002,0.0016666667200000002,5.08e-4,0.021737129161826123,0.07131604283928561,71.31604283928561,13.042277079742806,2659631.537628,128524,137452.014150984,12370.68127358856,86829.44308562159,553.16054475396,50.28732225036,50.28732225036,150.86196675108002,0,7056.98755580052,452.58590025324,137.45201415098398,12.370681273588561,86.82944308562159,0.55316054475396,0.05028732225036,0.05028732225036,0.15086196675108002,0,7.05698755580052,0.45258590025324,5.432885934821501,0.4889597341339352,3.4319937978506556,0.021864053152330434,0.0019876411956664033,0.0019876411956664033,0.00596292358699921,0,0.27893231445851857,0.017888770760997628,135775.770075972,12538.305681089761,75179.54676428818,586.6854262541999,41.9061018753,58.66854262542001,142.48074637602,0,8138.164984183261,486.11078175348007,135.775770075972,12.53830568108976,75.17954676428819,0.5866854262542,0.0419061018753,0.058668542625420005,0.14248074637601998,0,8.13816498418326,0.4861107817534801,5.366631228299288,0.49558520478615653,2.9715235875212724,0.0231891472827747,0.0016563676630553358,0.0023189147282774705,0.005631650054388142,0,0.32166660016534626,0.0192138648914419
